state,population,income
Alabama,3615,3624
Alaska,365,6315
Arizona,2212,4530
Arkansas,2110,3378
California,21198,5114
Colorado,2541,4884
Connecticut,3100,5348
Delaware,579,4809
Florida,8277,4815
Georgia,4931,4091
Hawaii,868,4963
Idaho,813,4119
Illinois,11197,5107
Indiana,5313,4458
Iowa,2861,4628
Kansas,2280,4669
Kentucky,3387,3712
Louisiana,3806,3545
Maine,1058,3694
Maryland,4122,5299
Massachusetts,5814,4755
Michigan,9111,4751
Minnesota,3921,4675
Mississippi,2341,3098
Missouri,4767,4254
Montana,746,4347
Nebraska,1544,4508
Nevada,590,5149
New Hampshire,812,4281
New Jersey,7333,5237
New Mexico,1144,3601
New York,18076,4903
North Carolina,5441,3875
North Dakota,637,5087
Ohio,10735,4561
Oklahoma,2715,3983
Oregon,2284,4660
Pennsylvania,11860,4449
Rhode Island,931,4558
South Carolina,2816,3635
South Dakota,681,4167
Tennessee,4173,3821
Texas,12237,4188
Utah,1203,4022
Vermont,472,3907
Virginia,4981,4701
Washington,3559,4864
West Virginia,1799,3617
Wisconsin,4589,4468
Wyoming,376,4566
